"","id","age","gender","test","comment","order","question_order","pref","dispref","label","unlabel","question","speaker","Age_Binned","speaker_bin","Trial"
"119","5280","8","girl",NA,"I think the yellow person knows more about pigs because the orange person said umm but the yellow person said pig right away","3","dispref","zebra","tiger","pigs","cows","basketball","Fluent","8-9",1,"Trial 1"
"120","5280","8","girl",NA,"I think the yellow person knows more about pigs because the orange person said umm but the yellow person said pig right away","3","dispref","zebra","tiger","pigs","cows","dispref","Disfluent","8-9",0,"Trial 1"
"121","5280","8","girl",NA,"I think the yellow person knows more about pigs because the orange person said umm but the yellow person said pig right away","3","dispref","zebra","tiger","pigs","cows","know_label","Fluent","8-9",1,"Trial 2"
"122","5280","8","girl",NA,"I think the yellow person knows more about pigs because the orange person said umm but the yellow person said pig right away","3","dispref","zebra","tiger","pigs","cows","soccer","Disfluent","8-9",0,"Trial 2"
"123","5280","8","girl",NA,"I think the yellow person knows more about pigs because the orange person said umm but the yellow person said pig right away","3","dispref","zebra","tiger","pigs","cows","know_unlabel","Disfluent","8-9",0,"Trial 2"
"124","11468","4","boy",NA,"I can tell because the yellow person is by the cow","3","pref","zebra","tiger","pigs","cows","pref","Disfluent","4-5",0,"Trial 1"
"125","11468","4","boy",NA,"I can tell because the yellow person is by the cow","3","pref","zebra","tiger","pigs","cows","basketball","Fluent","4-5",1,"Trial 1"
"126","11468","4","boy",NA,"I can tell because the yellow person is by the cow","3","pref","zebra","tiger","pigs","cows","dispref","Fluent","4-5",1,"Trial 1"
"127","11468","4","boy",NA,"I can tell because the yellow person is by the cow","3","pref","zebra","tiger","pigs","cows","know_label","Disfluent","4-5",0,"Trial 2"
"128","11468","4","boy",NA,"I can tell because the yellow person is by the cow","3","pref","zebra","tiger","pigs","cows","soccer","Fluent","4-5",1,"Trial 2"
"129","11468","4","boy",NA,"I can tell because the yellow person is by the cow","3","pref","zebra","tiger","pigs","cows","know_unlabel","Fluent","4-5",1,"Trial 2"
"130","6905","6","boy",NA,"because she said ummm","1","pref","tiger","zebra","cows","pigs","pref","Fluent","6-7",1,"Trial 1"
"131","6905","6","boy",NA,"because she said ummm","1","pref","tiger","zebra","cows","pigs","basketball","Disfluent","6-7",0,"Trial 1"
"132","6905","6","boy",NA,"because she said ummm","1","pref","tiger","zebra","cows","pigs","dispref","Disfluent","6-7",0,"Trial 1"
"133","6905","6","boy",NA,"because she said ummm","1","pref","tiger","zebra","cows","pigs","know_label","Fluent","6-7",1,"Trial 2"
"134","6905","6","boy",NA,"because she said ummm","1","pref","tiger","zebra","cows","pigs","soccer","Disfluent","6-7",0,"Trial 2"
"135","6905","6","boy",NA,"because she said ummm","1","pref","tiger","zebra","cows","pigs","know_unlabel","Disfluent","6-7",0,"Trial 2"
"136","9231","6","boy",NA,"because pigs are pink","4","pref","tiger","zebra","cows","pigs","pref","Disfluent","6-7",0,"Trial 1"
"137","9231","6","boy",NA,"because pigs are pink","4","pref","tiger","zebra","cows","pigs","basketball","Disfluent","6-7",0,"Trial 1"
"138","9231","6","boy",NA,"because pigs are pink","4","pref","tiger","zebra","cows","pigs","dispref","Fluent","6-7",1,"Trial 1"
"139","9231","6","boy",NA,"because pigs are pink","4","pref","tiger","zebra","cows","pigs","know_label","Fluent","6-7",1,"Trial 2"
"140","9231","6","boy",NA,"because pigs are pink","4","pref","tiger","zebra","cows","pigs","soccer","Disfluent","6-7",0,"Trial 2"
"141","9231","6","boy",NA,"because pigs are pink","4","pref","tiger","zebra","cows","pigs","know_unlabel","Fluent","6-7",1,"Trial 2"
"142","RP-0211","4","boy",NA,"because the cows fly","2","pref","zebra","tiger","pigs","cows","pref","Fluent","4-5",1,"Trial 1"
"143","RP-0211","4","boy",NA,"because the cows fly","2","pref","zebra","tiger","pigs","cows","basketball","Disfluent","4-5",0,"Trial 1"
"144","RP-0211","4","boy",NA,"because the cows fly","2","pref","zebra","tiger","pigs","cows","dispref","Disfluent","4-5",0,"Trial 1"
"145","RP-0211","4","boy",NA,"because the cows fly","2","pref","zebra","tiger","pigs","cows","know_label","Fluent","4-5",1,"Trial 2"
"146","RP-0211","4","boy",NA,"because the cows fly","2","pref","zebra","tiger","pigs","cows","soccer","Fluent","4-5",1,"Trial 2"
"147","RP-0211","4","boy",NA,"because the cows fly","2","pref","zebra","tiger","pigs","cows","know_unlabel","Disfluent","4-5",0,"Trial 2"
"148","8514","4","girl",NA,"because she's smart","1","pref","tiger","zebra","cows","pigs","pref","Fluent","4-5",1,"Trial 1"
"149","8514","4","girl",NA,"because she's smart","1","pref","tiger","zebra","cows","pigs","basketball","Disfluent","4-5",0,"Trial 1"
"150","8514","4","girl",NA,"because she's smart","1","pref","tiger","zebra","cows","pigs","dispref","Fluent","4-5",1,"Trial 1"
"151","8514","4","girl",NA,"because she's smart","1","pref","tiger","zebra","cows","pigs","know_label","Disfluent","4-5",0,"Trial 2"
"152","8514","4","girl",NA,"because she's smart","1","pref","tiger","zebra","cows","pigs","soccer","Fluent","4-5",1,"Trial 2"
"153","8514","4","girl",NA,"because she's smart","1","pref","tiger","zebra","cows","pigs","know_unlabel","Fluent","4-5",1,"Trial 2"
"154","7862","7","girl",NA,"Because that person actually said it quicker","4","dispref","tiger","zebra","cows","pigs","pref","Fluent","6-7",1,"Trial 1"
"155","7862","7","girl",NA,"Because that person actually said it quicker","4","dispref","tiger","zebra","cows","pigs","dispref","Disfluent","6-7",0,"Trial 1"
"156","7862","7","girl",NA,"Because that person actually said it quicker","4","dispref","tiger","zebra","cows","pigs","know_label","Fluent","6-7",1,"Trial 2"
"157","7862","7","girl",NA,"Because that person actually said it quicker","4","dispref","tiger","zebra","cows","pigs","know_unlabel","Disfluent","6-7",0,"Trial 2"
"158","6685","7","girl",NA,"Because the other person had to think about it","1","dispref","tiger","zebra","cows","pigs","pref","Fluent","6-7",1,"Trial 1"
"159","6685","7","girl",NA,"Because the other person had to think about it","1","dispref","tiger","zebra","cows","pigs","basketball","Fluent","6-7",1,"Trial 1"
"160","6685","7","girl",NA,"Because the other person had to think about it","1","dispref","tiger","zebra","cows","pigs","dispref","Disfluent","6-7",0,"Trial 1"
"161","6685","7","girl",NA,"Because the other person had to think about it","1","dispref","tiger","zebra","cows","pigs","know_label","Fluent","6-7",1,"Trial 2"
"162","6685","7","girl",NA,"Because the other person had to think about it","1","dispref","tiger","zebra","cows","pigs","soccer","Fluent","6-7",1,"Trial 2"
"163","6685","7","girl",NA,"Because the other person had to think about it","1","dispref","tiger","zebra","cows","pigs","know_unlabel","Disfluent","6-7",0,"Trial 2"
"164","3949","8","boy",NA,"Because she said uhh um cow, she didnt say the name as suddenly as the yellow person said a cow","1","pref","tiger","zebra","cows","pigs","pref","Fluent","8-9",1,"Trial 1"
"165","3949","8","boy",NA,"Because she said uhh um cow, she didnt say the name as suddenly as the yellow person said a cow","1","pref","tiger","zebra","cows","pigs","basketball","Disfluent","8-9",0,"Trial 1"
"166","3949","8","boy",NA,"Because she said uhh um cow, she didnt say the name as suddenly as the yellow person said a cow","1","pref","tiger","zebra","cows","pigs","dispref","Disfluent","8-9",0,"Trial 1"
"167","3949","8","boy",NA,"Because she said uhh um cow, she didnt say the name as suddenly as the yellow person said a cow","1","pref","tiger","zebra","cows","pigs","know_label","Fluent","8-9",1,"Trial 2"
"168","3949","8","boy",NA,"Because she said uhh um cow, she didnt say the name as suddenly as the yellow person said a cow","1","pref","tiger","zebra","cows","pigs","soccer","Disfluent","8-9",0,"Trial 2"
"169","3949","8","boy",NA,"Because she said uhh um cow, she didnt say the name as suddenly as the yellow person said a cow","1","pref","tiger","zebra","cows","pigs","know_unlabel","Disfluent","8-9",0,"Trial 2"
"170","10517","9","boy",NA,"I don't know","4","dispref","tiger","zebra","cows","pigs","pref","Fluent","8-9",1,"Trial 1"
"171","10517","9","boy",NA,"I don't know","4","dispref","tiger","zebra","cows","pigs","basketball","Fluent","8-9",1,"Trial 1"
"172","10517","9","boy",NA,"I don't know","4","dispref","tiger","zebra","cows","pigs","dispref","Disfluent","8-9",0,"Trial 1"
"173","10517","9","boy",NA,"I don't know","4","dispref","tiger","zebra","cows","pigs","know_label","Disfluent","8-9",0,"Trial 2"
"174","10517","9","boy",NA,"I don't know","4","dispref","tiger","zebra","cows","pigs","soccer","Fluent","8-9",1,"Trial 2"
"175","10517","9","boy",NA,"I don't know","4","dispref","tiger","zebra","cows","pigs","know_unlabel","Fluent","8-9",1,"Trial 2"
"176","6936","6","girl",NA,"because she has black shoes","2","pref","zebra","tiger","pigs","cows","pref","Disfluent","6-7",0,"Trial 1"
"177","6936","6","girl",NA,"because she has black shoes","2","pref","zebra","tiger","pigs","cows","basketball","Fluent","6-7",1,"Trial 1"
"178","6936","6","girl",NA,"because she has black shoes","2","pref","zebra","tiger","pigs","cows","dispref","Fluent","6-7",1,"Trial 1"
